               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,             0.02574,           0.0058722,                   0,             0.95287,             0.70938,             0.80217,              0.3318,            0.043362,           0.0075977,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.025001,           0.0057163,                   0,             0.91403,             0.73684,             0.82852,             0.34462,            0.040803,           0.0074653,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023779,           0.0055011,                   0,             0.95379,             0.72429,             0.83845,             0.34857,            0.041252,           0.0074985,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.024202,           0.0056654,                   0,             0.91118,              0.7199,             0.82945,             0.34127,            0.042184,           0.0076312,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.023094,           0.0053983,                   0,             0.92798,             0.71053,             0.80212,              0.3522,            0.043425,           0.0077783,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.022775,           0.0056247,                   0,             0.94244,             0.71808,             0.80541,             0.35767,            0.043184,           0.0077644,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.022392,           0.0054977,                   0,             0.92136,             0.71944,             0.79155,             0.36502,            0.043152,           0.0078475,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.02228,           0.0055906,                   0,             0.90103,             0.71871,             0.78354,             0.37397,            0.043138,           0.0076884,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.022416,           0.0057445,                   0,             0.91898,             0.72807,             0.80495,             0.35259,            0.042821,           0.0077121,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.022076,           0.0055439,                   0,              0.9156,             0.73684,             0.79741,              0.3627,            0.042565,           0.0078378,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.02194,           0.0053103,                   0,             0.92949,             0.73684,             0.79999,             0.36345,            0.043704,           0.0077779,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.022336,           0.0055836,                   0,             0.92856,             0.74561,             0.80707,             0.35014,            0.044153,            0.007754,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.021689,           0.0054535,                   0,               0.934,             0.74481,             0.80739,             0.37309,            0.042638,           0.0076348,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.022083,           0.0055428,                   0,             0.92183,             0.75439,              0.8223,             0.36312,            0.042228,           0.0076305,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.021506,           0.0049793,                   0,             0.88754,             0.77193,             0.83302,             0.37965,            0.040267,           0.0075812,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.02174,           0.0051629,                   0,             0.85443,             0.77232,             0.81666,             0.35449,            0.041512,           0.0075936,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.021904,           0.0052474,                   0,             0.87231,             0.77193,             0.82411,             0.36726,            0.041381,           0.0076873,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.020178,           0.0054424,                   0,             0.87031,             0.76529,             0.81536,             0.36387,            0.042048,           0.0077319,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.021048,           0.0056314,                   0,             0.88798,             0.77193,             0.80963,             0.35493,            0.042149,           0.0077508,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.021058,           0.0055657,                   0,             0.87962,             0.76918,             0.79425,             0.35194,            0.042937,           0.0078217,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.020387,            0.005152,                   0,             0.89012,              0.7817,             0.81028,             0.36739,            0.042355,           0.0078446,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.020314,           0.0051436,                   0,              0.8935,             0.77193,             0.79598,             0.36015,            0.041892,           0.0078234,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019645,           0.0049918,                   0,             0.93913,             0.72807,             0.80514,             0.36978,            0.041663,           0.0078048,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.020981,           0.0054386,                   0,             0.90822,             0.78124,              0.8207,             0.36484,            0.041976,           0.0077883,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.020279,           0.0051718,                   0,             0.90567,             0.75803,             0.81734,             0.37218,            0.041773,           0.0076979,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.019711,           0.0053641,                   0,             0.95416,              0.7303,             0.81506,             0.36858,            0.041943,           0.0077518,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.019294,           0.0050163,                   0,             0.95323,             0.73684,             0.81186,              0.3719,            0.042284,           0.0077383,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.019552,           0.0049702,                   0,             0.95442,             0.73466,             0.79809,             0.36455,            0.042892,           0.0077754,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.019173,           0.0052076,                   0,              0.9252,             0.75956,             0.81108,             0.37689,            0.042582,           0.0077322,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.018613,           0.0053316,                   0,             0.92086,             0.77193,             0.82371,             0.37578,            0.042223,            0.007686,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.019448,           0.0053309,                   0,             0.94238,             0.75439,             0.81651,             0.36867,            0.042738,           0.0076676,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.019365,           0.0050725,                   0,             0.89837,             0.77541,             0.83073,             0.36896,            0.042468,           0.0076568,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018943,           0.0051599,                   0,             0.89309,             0.79825,             0.82622,             0.37579,            0.042198,           0.0076587,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.018528,           0.0051325,                   0,              0.9171,             0.76316,             0.82482,             0.39145,            0.041635,           0.0076336,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.019081,           0.0052246,                   0,             0.93572,             0.76316,              0.8287,              0.3894,            0.041722,           0.0076635,                   0,            0.000298,            0.000298,            0.000298
